,r,rho,vp,vs,K,G
167,1484739.9908649628,6140.100660915273,4606.4585056349715,0.0,132131572283.03738,0.0
168,1488620.901938854,6136.396587058841,4603.286867504693,0.0,131862048350.9537,0.0
169,1492483.998086029,6132.701673357779,4600.122379411253,0.0,131593536543.4112,0.0
170,1496329.5011177887,6129.015828401461,4596.964969739462,0.0,131326027596.06107,0.0
171,1500157.6284273649,6125.338962565042,4593.8145683181065,0.0,131059512415.59805,0.0
172,1503968.593103415,6121.670987961743,4590.671106381469,0.0,130793982075.24886,0.0
173,1507762.604050291,6118.011818385783,4587.534516523201,0.0,130529427809.64517,0.0
174,1511539.8661004063,6114.361369244519,4584.40473265074,0.0,130265841009.48376,0.0
175,1515300.5801181127,6110.7195575393625,4581.281689956214,0.0,130003213218.40068,0.0
176,1519044.9431028871,6107.086301693902,4578.165324771345,0.0,129741536119.67377,0.0
177,1522773.1482891212,6103.461520966403,4575.055574069357,0.0,129480801493.35434,0.0
178,1526485.3852426487,6099.84513705561,4571.952376844278,0.0,129221001330.9678,0.0
179,1530181.8399541373,6096.237172454335,4568.855755200893,0.0,128962134709.70276,0.0
180,1533862.6949294712,6092.637463336891,4565.765577582339,0.0,128704187696.65683,0.0
181,1537528.129277235,6089.045911232158,4562.68176627658,0.0,128447150984.99182,0.0
182,1541178.3187934193,6085.461705485189,4559.603655868587,0.0,128190965708.39818,0.0
183,1544813.4360434478,6081.886253290461,4556.532410898972,0.0,127935727574.62024,0.0
184,1548433.6504416293,6078.318745545569,4553.467367289254,0.0,127681377826.40878,0.0
185,1552039.1283281364,6074.759113773275,4550.408471971488,0.0,127427909390.65663,0.0
186,1555630.0330435967,6071.2072906392805,4547.355672799523,0.0,127175315305.8982,0.0
187,1559206.5250013915,6067.663209737503,4544.30891836997,0.0,126923588706.61903,0.0
188,1562768.7617577452,6064.126805840377,4541.268158237781,0.0,126672722840.38654,0.0
189,1566316.898079685,6060.59801499387,4538.233342991205,0.0,126422711073.47467,0.0
190,1569851.0860109518,6057.076774267857,4535.204424043677,0.0,126173546872.77174,0.0
191,1573371.4750076367,6053.56302166271,4532.181353554901,0.0,125925223798.5983,0.0
192,1576878.2120594862,6050.056696030198,4529.164084363927,0.0,125677735498.57745,0.0
193,1580371.4416207895,6046.557737180845,4526.152570082802,0.0,125431075714.69586,0.0
194,1583851.3057498077,6043.066085782782,4523.146765010627,0.0,125185238275.63055,0.0
195,1587317.9441520825,6039.581665456997,4520.146609329792,0.0,124940215869.86673,0.0
196,1590771.4942162212,6036.104622102609,4517.152227015094,0.0,124696016424.52196,0.0
197,1594212.0910800002,6032.634394800331,4514.163157503931,0.0,124452599532.63367,0.0
198,1597639.8676776078,6029.171394256523,4511.179743727794,0.0,124209991285.61227,0.0
199,1601054.954789338,6025.715414426785,4508.2018185554825,0.0,123968175609.1283,0.0
200,1604457.4810910204,6022.266399966401,4505.2293394640365,0.0,123727146763.0776,0.0
201,1607847.5731994896,6018.824296315893,4502.262264548789,0.0,123486899085.2563,0.0
202,1611225.3557188483,6015.389049684637,4499.30055251053,0.0,123247426989.78847,0.0
203,1614590.9512850398,6011.960606981742,4496.344162628734,0.0,123008724963.52353,0.0
204,1617944.4806075972,6008.538915834738,4493.3930547598175,0.0,122770787565.95636,0.0
205,1621286.0625132367,6005.123924574262,4490.447189324526,0.0,122533609427.7356,0.0
206,1624615.8139852323,6001.715582221666,4487.506527298128,0.0,122297185249.40182,0.0
207,1627933.8502026768,5998.3138384759395,4484.571030200041,0.0,122061509800.0891,0.0
208,1631240.284579439,5994.9186437002,4481.640660083077,0.0,121826577916.20724,0.0
209,1634535.2288016803,5991.529948902321,4478.715379517531,0.0,121592384499.72418,0.0
210,1637818.7928646859,5988.147705723883,4475.795151582448,0.0,121358924517.03584,0.0
211,1641091.085108939,5984.77186644933,4472.879939874449,0.0,121126192999.24335,0.0
212,1644352.2122536404,5981.402383977737,4469.969708484088,0.0,120894185039.84535,0.0
213,1647602.2794308495,5978.039211810159,4467.064421985674,0.0,120662895793.52005,0.0
214,1650841.3902183552,5974.682304038327,4464.164045428396,0.0,120432320475.01692,0.0
215,1654069.64667158,5971.331615031585,4461.268544254926,0.0,120202454346.94444,0.0
