,r,rho,vp,vs,vphi,K,G
132,960173.836624596,7385.911734091958,5251.26914475159,0.0,0.0,204002745698.0678,0.0006464808161491377
133,967484.0376264097,7381.747491705353,5247.004320026473,0.0,0.0,203538620717.0393,0.0006065091585230329
134,974794.2386282233,7377.583249318748,5242.739495301356,0.0,0.0,203071326184.9128,0.0005665375008969281
135,982104.4396300369,7373.419006932143,5238.374321210429,0.0,0.0,202600894092.41617,0.0005265658432708233
136,989414.6406318506,7369.254764545538,5233.589541456525,0.0,0.0,202127326990.64886,0.0004865941856447185
137,996724.8416336642,7365.090522158933,5228.80476170262,0.0,0.0,201650629856.64194,0.00044662252801861357
138,1004035.0426354777,7360.926279772328,5224.019981948717,0.0,0.0,201170809833.0092,0.0004066508703925094
139,1011345.2436372914,7356.762037385723,5219.235202194814,0.0,0.0,200687867956.0201,0.00036667921276640466
140,1018655.444639105,7352.5977949991175,5214.450422440908,0.0,0.0,200201794216.00473,0.0003267075551402998
141,1025965.6456409185,7348.433552612512,5209.665642687005,0.0,0.0,199712622067.84122,0.0002867358975141956
142,1033275.8466427322,7344.269310225906,5204.8808629331015,0.0,0.0,199220365861.54047,0.0002467642398880908
143,1040586.0476445458,7340.105067839301,5200.096083179197,0.0,0.0,198725000614.86584,0.00020679258226198596
144,1047896.2486463594,7335.940825452697,5195.311303425294,0.0,0.0,198226555785.65622,0.00016682092463588113
145,1055206.449648173,7331.776583066091,5190.526523671389,0.0,0.0,197725038883.41647,0.0001268492670097763
146,1062516.6506499867,7327.612340679486,5185.741743917485,0.0,0.0,197220451480.30618,8.687760938367147e-05
147,1069826.8516518003,7323.448098292882,5180.956964163582,0.0,0.0,196712799536.43356,4.6905951757566644e-05
148,1077137.052653614,7319.283855906276,5176.172184409678,0.0,0.0,196202112923.8239,6.93429413146182e-06
149,1084447.2536554276,7315.119613519671,5171.387404655775,0.0,0.0,195688373852.04138,0.0
150,1091757.4546572412,7309.92910004859,5165.818360226523,0.0,0.0,195171598645.0325,0.0
151,1099067.6556590549,7304.708089275628,5160.226010106485,0.0,0.0,194651807007.65546,0.0
152,1106377.8566608685,7299.487078502665,5154.633659986446,0.0,0.0,194129005927.00598,0.0
153,1113688.057662682,7294.266067729703,5149.0413098664085,0.0,0.0,193603204373.96555,0.0
154,1120998.2586644955,7289.04505695674,5143.44895974637,0.0,0.0,193074412744.5638,0.0
155,1128308.4596663092,7283.824046183776,5137.856609626331,0.0,0.0,192542643164.18158,0.0
156,1135618.6606681228,7278.603035410813,5132.264259506293,0.0,0.0,192007910011.4287,0.0
157,1142928.8616699365,7273.382024637851,5126.671909386254,0.0,0.0,191470215679.8555,0.0
158,1150239.06267175,7268.161013864888,5121.079559266216,0.0,0.0,190929569476.82056,0.0
159,1157549.2636735637,7262.940003091926,5115.4872091461775,0.0,0.0,190386003618.28748,0.0
160,1164859.4646753774,7257.7189923189635,5109.894859026139,0.0,0.0,189839511332.27548,0.0
161,1172169.665677191,7252.497981546,5104.3025089061,0.0,0.0,189290115502.66498,0.0
162,1179479.8666790044,7247.276970773039,5098.710158786062,0.0,0.0,188737822979.7056,0.0
163,1186790.067680818,7242.055960000076,5093.117808666024,0.0,0.0,188182662471.5389,0.0
164,1194100.2686826317,7236.834949227112,5087.525458545985,0.0,0.0,187624616977.47183,0.0
165,1201410.4696844453,7231.61393845415,5081.933108425947,0.0,0.0,187063726414.87985,0.0
166,1208720.670686259,7226.392927681187,5076.340758305908,0.0,0.0,186500000709.07074,0.0
167,1216030.8716880726,7221.171916908224,5070.748408185869,0.0,0.0,185933451564.36963,0.0
168,1223341.0726898862,7215.950906135263,5065.1560580658315,0.0,0.0,185364092298.00546,0.0
169,1230651.2736916998,7210.729895362299,5059.563707945793,0.0,0.0,184791937689.39554,0.0
170,1237961.4746935135,7205.508884589337,5053.971357825754,0.0,0.0,184217003831.35645,0.0
171,1245271.675695327,7200.2878738163745,5048.379007705716,0.0,0.0,183639308051.2152,0.0
172,1252581.8766971407,7194.896557051188,5042.578193104601,0.0,0.0,183058868772.99524,0.0
173,1259892.0776989544,7189.0671701228575,5036.241155038633,0.0,0.0,182475700850.56122,0.0
174,1267202.278700768,7183.237783194525,5029.904116972666,0.0,0.0,181889808700.14795,0.0
175,1274512.4797025817,7177.408396266193,5023.567078906698,0.0,0.0,181301230706.29584,0.0
176,1281822.6807043953,7171.579009337862,5017.230040840731,0.0,0.0,180709963069.57245,0.0
177,1289132.881706209,7165.74962240953,5010.893002774765,0.0,0.0,180116044932.42813,0.0
178,1296443.0827080226,7159.920235481199,5004.555964708796,0.0,0.0,179519468239.39572,0.0
179,1303753.283709836,7154.090848552867,4998.2189266428295,0.0,0.0,178920270905.16064,0.0
180,1311063.4847116496,7148.2614616245355,4991.8818885768615,0.0,0.0,178318467815.49762,0.0
181,1318373.6857134632,7142.432074696206,4985.544850510895,0.0,0.0,177714075025.93082,0.0
182,1325683.8867152769,7136.602687767873,4979.207812444927,0.0,0.0,177107109913.7421,0.0
183,1332994.0877170905,7130.773300839542,4972.87077437896,0.0,0.0,176497591060.88446,0.0
184,1340304.2887189041,7124.943913911211,4966.533736312993,0.0,0.0,175885550998.40533,0.0
185,1347614.4897207175,7119.114526982879,4960.196698247025,0.0,0.0,175270994703.25687,0.0
186,1354924.6907225312,7113.285140054548,4953.859660181058,0.0,0.0,174653889145.10928,0.0
187,1362234.8917243448,7107.455753126216,4947.522622115091,0.0,0.0,174034375987.66113,0.0
188,1369545.0927261584,7101.626366197885,4941.185584049123,0.0,0.0,173412403596.8581,0.0
189,1376855.293727972,7095.796979269554,4934.848545983156,0.0,0.0,172787991744.35272,0.0
190,1384165.4947297857,7089.821097624238,4928.358453418952,0.0,0.0,172161172502.97513,0.0
191,1391475.6957315993,7082.9895605840575,4920.974390684218,0.0,0.0,171531960389.12076,0.0
192,1398785.896733413,7076.158023543876,4913.590327949481,0.0,0.0,170900382814.7396,0.0
193,1406096.0977352266,7069.3264865036945,4906.206265214747,0.0,0.0,170266463609.0564,0.0
194,1413406.2987370403,7062.494949463514,4898.822202480011,0.0,0.0,169630218995.91083,0.0
195,1420716.499738854,7055.663412423332,4891.438139745275,0.0,0.0,168991673349.9803,0.0
196,1428026.7007406675,7048.831875383152,4884.05407701054,0.0,0.0,168350852250.93124,0.0
197,1435336.9017424812,7042.00033834297,4876.6700142758045,0.0,0.0,167707778476.72318,0.0
198,1442647.1027442948,7035.168801302789,4869.285951541069,0.0,0.0,167062475878.05344,0.0
199,1449957.3037461084,7028.337264262607,4861.901888806334,0.0,0.0,166414967055.96176,0.0
200,1457267.504747922,7021.505727222426,4854.517826071598,0.0,0.0,165765273762.1614,0.0
201,1464577.7057497357,7014.674190182244,4847.133763336862,0.0,0.0,165113426234.84296,0.0
202,1471887.9067515493,7007.842653142063,4839.749700602128,0.0,0.0,164459449580.04138,0.0
203,1479198.1077533627,7001.011116101882,4832.365637867392,0.0,0.0,163803274799.43082,0.0
204,1486508.3087551764,6994.179579061702,4824.981575132657,0.0,0.0,163145111241.15204,3.342665513267931e-05
205,1493818.50975699,6987.34804202152,4817.5975123979215,0.0,0.0,162484888566.55322,7.345797076567745e-05
206,1501128.7107588036,6980.516504981339,4810.213449663186,0.0,0.0,161822612380.20874,0.00011348928639867554
207,1508438.9117606173,6973.684967941157,4802.82938692845,0.0,0.0,161158329933.12595,0.00015352060203167368
208,1515749.112762431,6966.853430900976,4795.445324193714,0.0,0.0,160492066462.87198,0.00019355191766467177
209,1523059.3137642443,6960.021893860795,4788.061261458979,0.0,0.0,159823847718.57837,0.00023358323329766866
210,1530369.514766058,6953.1903568206135,4780.677198724245,0.0,0.0,159153700154.98068,0.00027361454893066675
211,1537679.7157678716,6946.358819780432,4773.293135989508,0.0,0.0,158481650948.6902,0.00031364586456366495
212,1544989.9167696852,6939.527282740251,4765.909073254773,0.0,0.0,157807727937.45453,0.0003536771801966629
213,1552300.1177714989,6932.69574570007,4758.5250105200375,0.0,0.0,157131959562.5934,0.00039370849582966107
214,1559610.3187733125,6925.864208659888,4751.140947785303,0.0,0.0,156454374821.94943,0.00043373981146265915
215,1566920.5197751261,6919.032671619708,4743.756885050567,0.0,0.0,155774996516.59064,0.0004737711270956574
